"CO_TIPO";"CO_ANO";"CO_MES";"CO_NCM";"CO_SH6";"CO_SH2";"CO_NCM_SECAO";"NO_SECAO_PT";"NO_NCM_PT";"SG_UNID";"CO_PAIS_ISOA3";"NO_PAIS";"SG_UF_NCM";"NO_VIA";"CO_URF";"QT_ESTAT";"KG_LIQUIDO";"VL_FOB";"VL_FRETE";"VL_SEGURO"
"IMP";"2023";"03";"02013000";"020130";"02";"I";"Animais vivos e produtos do reino animal";"Carnes desossadas de bovino, frescas ou refrigeradas";"KGL  ";"ARG";"Argentina";"SP";"RODOVIARIA";"1017500";"82070";"82070";"893872";"8352";"2200"
"IMP";"2023";"03";"02013000";"020130";"02";"I";"Animais vivos e produtos do reino animal";"Carnes desossadas de bovino, frescas ou refrigeradas";"KGL  ";"PRY";"Paraguai";"MG";"RODOVIARIA";"0917500";"330281";"330281";"2255520";"19078";"0"
"IMP";"2023";"03";"02023000";"020230";"02";"I";"Animais vivos e produtos do reino animal";"Carnes desossadas de bovino, congeladas";"KGL  ";"ARG";"Argentina";"BA";"MARITIMA";"0517800";"3206";"3206";"40641";"163";"80"
"IMP";"2023";"03";"02023000";"020230";"02";"I";"Animais vivos e produtos do reino animal";"Carnes desossadas de bovino, congeladas";"KGL  ";"ARG";"Argentina";"SC";"RODOVIARIA";"1017503";"68660";"68660";"614633";"4179";"0"
"IMP";"2023";"03";"02044200";"020442";"02";"I";"Animais vivos e produtos do reino animal";"Outras peças não desossadas de ovino, congeladas";"KGL  ";"CHL";"Chile";"SP";"RODOVIARIA";"1017503";"22297";"22297";"212071";"7008";"589"
"IMP";"2023";"03";"02044200";"020442";"02";"I";"Animais vivos e produtos do reino animal";"Outras peças não desossadas de ovino, congeladas";"KGL  ";"URY";"Uruguai";"SC";"RODOVIARIA";"1017701";"59118";"59118";"321643";"2692";"0"
"IMP";"2023";"03";"02044300";"020443";"02";"I";"Animais vivos e produtos do reino animal";"Carnes desossadas de ovino, congeladas";"KGL  ";"URY";"Uruguai";"RS";"RODOVIARIA";"1010351";"1990";"1990";"13595";"78";"0"
"IMP";"2023";"03";"02062200";"020622";"02";"I";"Animais vivos e produtos do reino animal";"Fígados de bovino, congelados";"KGL  ";"PRY";"Paraguai";"PE";"RODOVIARIA";"0917500";"47996";"47996";"45597";"2299";"39"
"IMP";"2023";"03";"02062910";"020629";"02";"I";"Animais vivos e produtos do reino animal";"Rabos de bovino, congelados";"KGL  ";"PRY";"Paraguai";"PR";"RODOVIARIA";"0917500";"63091";"63091";"184930";"1612";"419"
"IMP";"2023";"03";"02062990";"020629";"02";"I";"Animais vivos e produtos do reino animal";"Outras miudezas comestíveis de bovino, congeladas";"KGL  ";"URY";"Uruguai";"SP";"RODOVIARIA";"1017701";"5757";"5757";"8636";"289";"7"
"IMP";"2023";"03";"02071400";"020714";"02";"I";"Animais vivos e produtos do reino animal";"Pedaços e miudezas, comestíveis de galos/galinhas, congelados";"KGL  ";"ARG";"Argentina";"RS";"RODOVIARIA";"1017503";"24000";"24000";"69600";"1614";"0"
"IMP";"2023";"03";"02071400";"020714";"02";"I";"Animais vivos e produtos do reino animal";"Pedaços e miudezas, comestíveis de galos/galinhas, congelados";"KGL  ";"ARG";"Argentina";"SP";"RODOVIARIA";"1017503";"24000";"24000";"73214";"2330";"220"
"IMP";"2023";"03";"02074500";"020745";"02";"I";"Animais vivos e produtos do reino animal";"Outras carnes de patos, congeladas";"KGL  ";"FRA";"França";"RJ";"MARITIMA";"0717600";"1522";"1522";"64979";"3304";"0"
"IMP";"2023";"03";"02091021";"020910";"02";"I";"Animais vivos e produtos do reino animal";"Gordura de porco, fresca, refrigerada ou congelada";"KGL  ";"CHL";"Chile";"SC";"RODOVIARIA";"1017503";"45590";"45590";"70550";"6469";"41"
"IMP";"2023";"03";"02101100";"021011";"02";"I";"Animais vivos e produtos do reino animal";"Pernas/pás/pedaços, de suíno, não desossados, salgados, etc.";"KGL  ";"ESP";"Espanha";"DF";"MARITIMA";"0817800";"1399";"1399";"10089";"220";"25"
"IMP";"2023";"03";"02101200";"021012";"02";"I";"Animais vivos e produtos do reino animal";"Barrigas e peitos, entremeados, de suíno, salgados, etc.";"KGL  ";"PRT";"Portugal";"SP";"MARITIMA";"0817800";"1768";"1768";"21082";"942";"0"
"IMP";"2023";"03";"02101900";"021019";"02";"I";"Animais vivos e produtos do reino animal";"Outras carnes de suíno, salgadas ou em salmoura, secas, etc.";"KGL  ";"ESP";"Espanha";"DF";"MARITIMA";"0817800";"13571";"13571";"135720";"2138";"334"
"IMP";"2023";"03";"02101900";"021019";"02";"I";"Animais vivos e produtos do reino animal";"Outras carnes de suíno, salgadas ou em salmoura, secas, etc.";"KGL  ";"ITA";"Itália";"RJ";"MARITIMA";"0717600";"9076";"9076";"91973";"1839";"0"
"IMP";"2023";"03";"03031300";"030313";"03";"I";"Animais vivos e produtos do reino animal";"Salmão-do-atlântico e salmão-do-danúbio, congelados";"KGL  ";"CHL";"Chile";"SP";"RODOVIARIA";"0917500";"18507";"18507";"125844";"2582";"157"
"IMP";"2023";"03";"03035300";"030353";"03";"I";"Animais vivos e produtos do reino animal";"Sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.), anchoveta (Sprattus sprattus), congeladas";"KGL  ";"MAR";"Marrocos";"CE";"MARITIMA";"0927700";"307748";"307748";"352011";"31194";"0"
"IMP";"2023";"03";"03035300";"030353";"03";"I";"Animais vivos e produtos do reino animal";"Sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.), anchoveta (Sprattus sprattus), congeladas";"KGL  ";"OMN";"Omã";"SC";"MARITIMA";"0927700";"432000";"432000";"301643";"56641";"96"
"IMP";"2023";"03";"03035300";"030353";"03";"I";"Animais vivos e produtos do reino animal";"Sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.), anchoveta (Sprattus sprattus), congeladas";"KGL  ";"PRT";"Portugal";"RJ";"MARITIMA";"0717600";"7000";"7000";"17437";"2380";"0"
"IMP";"2023";"03";"03036500";"030365";"03";"I";"Animais vivos e produtos do reino animal";"Saithe (Pollachius virens), congelado";"KGL  ";"PRT";"Portugal";"MG";"MARITIMA";"0817800";"11724";"11724";"59664";"1658";"70"
"IMP";"2023";"03";"03036500";"030365";"03";"I";"Animais vivos e produtos do reino animal";"Saithe (Pollachius virens), congelado";"KGL  ";"PRT";"Portugal";"PE";"MARITIMA";"0417902";"15700";"15700";"101797";"3429";"0"
"IMP";"2023";"03";"03036500";"030365";"03";"I";"Animais vivos e produtos do reino animal";"Saithe (Pollachius virens), congelado";"KGL  ";"PRT";"Portugal";"RJ";"MARITIMA";"0817800";"4020";"4020";"33833";"338";"22"
